Bank,Number_of_Islands,Geographic_Area,Geographic_Isolation,Island_Spread,Economic_Isolation,Average_Population,Topographic_Complexity,Anthropogenic_Habitat,Green_Habitat
Anguilla,30,201.1543793,749.6543334,0.847722198,417,79504.52958,59.47332653,0.242068155,0.64747356
Antigua,16,434.8076305,840.708115,0.729645139,308,79694.6876,48.82012482,0.039408867,0.912972086
Aruba,1,181.9324171,186.4419355,0.125602959,301,100187.6806,30.3241851,0.510752688,0.463709677
Aves,1,0.164199655,706.5693974,0.238047877,0,521.0843693,1.147515878,NA,NA
Barbados,1,434.6378908,608.8018682,0.127442779,492,268804.9273,78.78586231,0.290367484,0.701280624
Bermuda,14,68.06274188,1221.588702,0.777551949,83,48404.71689,14.44404949,0.653614458,0.144578313
Blanquilla,6,67.69970118,302.638726,0.728669482,0,0,14.03827467,0,0.981751825
Bonaire,2,285.8919051,317.8312748,0.343960222,65,15135.79099,27.76339157,0.050212766,0.805957446
Caicos,65,960.6467007,455.6740381,0.835243694,2,23081.33132,4.31869024,0.012524085,0.758188825
Cay Sal,26,9.964537767,285.2245593,0.997268873,0,157.7531065,3.493682677,0,0.230769231
Cayman Brac,1,41.90899263,446.7771724,0.138295442,1,1120.017803,13.38548137,0,0.950549451
Chinchorro,10,8.342615848,206.1608737,0.957743962,0,0,3.263185368,0,0.58974359
Conception,3,9.495257402,553.4570814,0.535152235,0,8.2634593,3.278009368,0,0.714285714
Corn,2,13.00680315,233.2581298,0.776970138,0,5680.367156,16.7820218,0,0.875
Cozumel,1,478.5650855,162.7438975,0.122229231,333,78524.41809,4.351656969,0.015114578,0.949293027
Crooked Acklins,34,773.4804038,475.5128885,0.748244326,0,767.6223597,4.460861091,0,0.861037037
Cuba,1388,110708.5993,0,0.505723112,111,11059237.32,151.3795293,0.203783,0.77446439
Curacao,4,436.3156704,280.9136258,0.312917012,398,145241.4413,28.99137663,0.389044159,0.590832867
Desecheo,1,1.457559581,303.3629493,0.062527777,0,1.95519564,47.81087597,0,1
Dominica,1,754.213132,724.081732,0.12963765,174,69540.62004,239.838332,0.007324841,0.987579618
Glover,4,0.946825214,214.7322925,0.859169947,0,2.893325496,2.761989584,0.5,0.5
Grand Cayman,2,202.6846019,545.6258588,0.461940268,300,47223.91974,2.883215737,0.141705069,0.839861752
