"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"All Herpetofauna","anguilla",18,14,32
"All Herpetofauna","antigua",6,9,15
"All Herpetofauna","aruba",12,11,23
"All Herpetofauna","aves",0,1,1
"All Herpetofauna","barbados",9,6,15
"All Herpetofauna","bermuda",7,2,9
"All Herpetofauna","blanquilla",0,8,8
"All Herpetofauna","bonaire",5,8,13
"All Herpetofauna","caicos",6,10,16
"All Herpetofauna","cay sal",0,5,5
"All Herpetofauna","cayman brac",4,13,17
"All Herpetofauna","chinchorro",0,6,6
"All Herpetofauna","conception",0,6,6
"All Herpetofauna","corn",4,24,28
"All Herpetofauna","cozumel",2,31,33
"All Herpetofauna","crooked acklins",0,9,9
"All Herpetofauna","cuba",10,219,229
"All Herpetofauna","curacao",9,11,20
"All Herpetofauna","desecheo",0,5,5
"All Herpetofauna","dominica",5,15,20
"All Herpetofauna","glover",3,2,5
"All Herpetofauna","grand cayman",13,12,25
"All Herpetofauna","great bahama",15,25,39
"All Herpetofauna","great inagua",5,9,14
"All Herpetofauna","grenada",10,19,29
"All Herpetofauna","guadeloupe",12,24,36
"All Herpetofauna","guanaja",5,24,29
"All Herpetofauna","hispaniola",8,251,259
"All Herpetofauna","iles des saintes",7,8,15
"All Herpetofauna","ilsa de providencia",2,11,13
"All Herpetofauna","jamaica",9,59,68
"All Herpetofauna","klein curacao",1,3,4
"All Herpetofauna","las aves",0,11,11
"All Herpetofauna","lighthouse atoll",1,5,6
"All Herpetofauna","little bahama",17,9,26
"All Herpetofauna","little cayman",3,10,13
"All Herpetofauna","little inagua",1,3,4
"All Herpetofauna","marie galante",7,9,16
"All Herpetofauna","martinique",13,13,26
"All Herpetofauna","mayaguana",2,2,4
"All Herpetofauna","mira por vos",0,1,1
"All Herpetofauna","mona",3,9,12
"All Herpetofauna","monito",0,3,3
"All Herpetofauna","monjes",0,1,1
"All Herpetofauna","montserrat",7,10,17
"All Herpetofauna","morant",1,1,2
"All Herpetofauna","navassa",0,8,8
"All Herpetofauna","orchila",1,5,6
"All Herpetofauna","pedro",0,2,2
"All Herpetofauna","plana cays",0,4,4
"All Herpetofauna","puerto rico",22,72,94
"All Herpetofauna","redonda",1,4,5
"All Herpetofauna","roatan",3,27,30
"All Herpetofauna","roques",1,6,7
"All Herpetofauna","rum cay",0,7,7
"All Herpetofauna","saba",2,6,8
"All Herpetofauna","samana",0,3,3
"All Herpetofauna","san andres",2,12,14
"All Herpetofauna","san salvador",2,9,11
"All Herpetofauna","sombrero",0,3,3
"All Herpetofauna","st christopher",12,9,21
"All Herpetofauna","st croix",11,11,22
"All Herpetofauna","st lucia",12,16,28
"All Herpetofauna","st vincent",7,13,20
"All Herpetofauna","swan",0,11,11
"All Herpetofauna","testigos",1,10,11
"All Herpetofauna","tobago",5,56,61
"All Herpetofauna","tortuga",0,5,5
"All Herpetofauna","trinidad",10,101,111
"All Herpetofauna","turks",4,7,11
"All Herpetofauna","turneffe",1,6,7
"All Herpetofauna","utila",8,29,37
"Reptilia","anguilla",12,14,26
"Reptilia","antigua",3,8,11
"Reptilia","aruba",10,10,20
"Reptilia","aves",0,1,1
"Reptilia","barbados",7,6,13
"Reptilia","bermuda",5,2,7
"Reptilia","blanquilla",0,8,8
"Reptilia","bonaire",2,8,10
"Reptilia","caicos",4,10,14
"Reptilia","cay sal",0,5,5
"Reptilia","cayman brac",4,11,15
"Reptilia","chinchorro",0,6,6
"Reptilia","conception",0,5,5
"Reptilia","corn",4,18,22
"Reptilia","cozumel",2,23,25
"Reptilia","crooked acklins",0,8,8
"Reptilia","cuba",9,151,160
"Reptilia","curacao",6,11,17
"Reptilia","desecheo",0,5,5
"Reptilia","dominica",5,12,17
"Reptilia","glover",3,2,5
"Reptilia","grand cayman",11,10,21
"Reptilia","great bahama",13,21,33
"Reptilia","great inagua",3,9,12
"Reptilia","grenada",6,18,24
"Reptilia","guadeloupe",9,20,29
"Reptilia","guanaja",3,19,22
"Reptilia","hispaniola",6,177,183
"Reptilia","iles des saintes",6,7,13
"Reptilia","ilsa de providencia",2,10,12
"Reptilia","jamaica",5,38,43
"Reptilia","klein curacao",1,3,4
"Reptilia","las aves",0,11,11
"Reptilia","lighthouse atoll",1,5,6
"Reptilia","little bahama",13,7,20
"Reptilia","little cayman",3,9,12
"Reptilia","little inagua",1,3,4
"Reptilia","marie galante",5,8,13
"Reptilia","martinique",8,12,20
"Reptilia","mayaguana",2,2,4
"Reptilia","mira por vos",0,1,1
"Reptilia","mona",2,8,10
"Reptilia","monito",0,3,3
"Reptilia","monjes",0,1,1
"Reptilia","montserrat",5,9,14
"Reptilia","morant",1,1,2
"Reptilia","navassa",0,8,8
"Reptilia","orchila",1,5,6
"Reptilia","pedro",0,2,2
"Reptilia","plana cays",0,4,4
"Reptilia","puerto rico",15,53,68
"Reptilia","redonda",1,4,5
"Reptilia","roatan",3,23,26
"Reptilia","roques",1,6,7
"Reptilia","rum cay",0,6,6
"Reptilia","saba",1,6,7
"Reptilia","samana",0,3,3
"Reptilia","san andres",2,11,13
"Reptilia","san salvador",1,7,8
"Reptilia","sombrero",0,3,3
"Reptilia","st christopher",9,9,18
"Reptilia","st croix",6,9,15
"Reptilia","st lucia",7,14,21
"Reptilia","st vincent",4,12,16
"Reptilia","swan",0,11,11
"Reptilia","testigos",1,10,11
